ticker,exchange,company_name
BIOA_WS,NYSE,BioAmber Inc. Warrant expiring May 9 2017
CDE_WS,NYSE,Coeur D'Alene Mines Corporation
FINQ,NASDAQ,Purefunds Solactive FinTech ETF
IMED,NASDAQ,PureFunds ETFx HealthTech ETF
CVETV,NASDAQ,Covetrus Inc.
AKAO,NASDAQ,Achaogen Inc.
ISL,NYSE MKT,Aberdeen Israel Fund Inc. (The)
ALTR_,NASDAQ,Altera Corp.
ACHN,NASDAQ,Achillion Pharmaceuticals Inc.
SE_3,NYSE,Spectra Energy Corp
ADPT_,NYSE,Adeptus Health Inc.
ACW,NYSE,Accuride Corporation
ATU,NYSE,Actuant Corporation
AEGN,NASDAQ,Aegion Corp
ACTS,NASDAQ,Actions Semiconductor Co. Ltd.
WUBA,NYSE,58.com Inc. American Depositary Shares each representing 2 Class A
ABGB,NASDAQ,Abengoa S.A. ADR (Sponsored) Repstg Cl B Shs
ADEP,NASDAQ,Adept Technology Inc.
ABAX,NASDAQ,ABAXIS Inc.
ACMP,NYSE,Access Midstream Partners
API_,NYSE MKT,Advanced Photonix Inc.
FCTY,NASDAQ,1st Century Bancshares Inc
CAS_,NYSE,Castle (A.M.) & Co.
AGN,NYSE,Allergan plc
BIRT,NASDAQ,Actuate Corporation
ATV,NYSE,Acorn International Inc. ADS
HNPIY,NYSE,Huaneng Power Intl
ANCX,NASDAQ,Access National Corporation
ACE,NYSE,ACE Ltd
ABDC,NASDAQ,Alcentra Capital Corp.
GCH,NYSE,Aberdeen Greater China Fund Inc.
TFSCU,NASDAQ,1347 Capital Corp. Unit
CRMD_WS,NYSE MKT,CorMedix Inc Warrants Exp 04/30/2015
CVM_WS,NYSE MKT,Cel-Sci Corporation Warrants Exp 10/11/2018
MDLY,NYSE,Medley Management Inc. Class A
SFS,NYSE,Smart & Final Stores Inc.
APP_,NYSE MKT,American Apparel Inc
ACG,NYSE,AllianceBernstein Income Fund
GRO,NYSE,Agria Corporation American Depositary Shares
AIRM,NASDAQ,Air Methods Corporation
ARNC_,NYSE,Arconic Corporation
OA,NYSE,Orbital ATK Inc.
AKRXQ,NASDAQ,Akorn Inc.
AGU,NYSE,Agrium Inc.
ATRM,NASDAQ,ATRM Holdings Inc
BSI,NYSE,Alon Blue Square Israel Ltd ADR (Sponsored)
AIXG,NASDAQ,Aixtron SE
ARG,NYSE,Airgas Inc.
ALU,NYSE,Alcatel-Lucent ADR (Sponsored)
AYN,NYSE,Alliance New York Municipal Income Fund Inc.
ARO,NYSE,Aeropostale Inc.
AFOP,NASDAQ,Alliance Fiber Optic Products Inc.
AFAM,NASDAQ,Almost Family Inc
CADE3,NYSE,Cadence Bancorporation Class A
AMID,NYSE,American Midstream Partners LP representing Limited Partner Interests
AET,NYSE,Aetna Inc.
FFBCW,NASDAQ,First Financial Bancorp. Warrant 12/23/2018
