# Lluis Navarro handmade elaboration
ticker,yfinance_condition,new_ticker
ANDW,delisted,
PGL,delisted,
HPC,delisted,
GAS.2,delisted,
PMTC,ticker_change,PTC
NOVL,delisted,
DJ,delisted,
TEK,delisted,
RSHCQ,delisted,
WPI,delisted,ABBV
BOL,delisted,
AW,delisted,RSG
SLR,delisted,FLEX
QLG,delisted,
TSG,ticker_change,SABR
MIL.,delisted,
NVLS,delisted,
CCTYQ,delisted,
UNS1,ticker_change,VIAV
APCC.,delisted,
SBL,delisted,
HCR,delisted,
AHEB GR,delisted,
PTV,delisted,
FNP,delisted,
KG,delisted,
DG.1,delisted,
CMVT,delisted,
TIN,delisted,
PBG,delisted,
TLAB,delisted,
GR,delisted,
AV.1,delisted,
RX,delisted,
BRL,delisted,
MOLX,delisted,
WYND,delisted,
BMC,delisted,
H.4,delisted,
BDK,delisted,
BFB,ticker_change,BF_B
ABI,delisted,
ABI,delisted,
ACS,delisted,
CTX,delisted,
TRB,delisted,
EKDKQ,delisted,
AYE,delisted,
UUM,ticker_change,UNM
ROH,delisted,
MEDI,delisted,
NSM.2,delisted,
USX1,ticker_change,X
KSE,delisted,
CBSS,delisted,
ASD,delisted,
SOV,delisted,
CBE,delisted,
CBE,delisted,
WEN.2,delisted,
BMET,delisted,
CVH,delisted,
UVN,delisted,
ABKFQ,delisted,
UST.1,delisted,
BJS,delisted,
LTD,ticker_change,LB
CITGQ,delisted,
FSH,delisted,
ASO.1,delisted,
WWY,delisted,
FCX*,delisted,
KMI.1,delisted,
FO,delisted,
PGN,delisted,
ASN,delisted,
SLE,delisted,
MI,delisted,
MI,delisted,
HET,delisted,
EDS.,delisted,
NFB,delisted,
HNZ,ticker_change,KHC
QWST,delisted,
EOP,delisted,
SCN,delisted,
CCU.1,delisted,
WFT,delisted,
CPPRQ,delisted,
FSL.B,delisted,
XTO,delisted,
MEL,delisted,
RN7,ticker_change,RF
BSC.1,delisted,
AG4,ticker_change,AGN
MX4A,ticker_change,CME
LTR,ticker_change,L
GENZ,delisted,
MHS,delisted,
SWG,ticker_change,SCHW
MTLQQ,delisted,
AAZ,ticker_change,APC
GDW,delisted,
HCA.2,delisted,
RTN1,delisted,
CFC,delisted,
AT.,delisted,
NCC,delisted,
8686,ticker_change,AFL
NTH,ticker_change,NOC
CMX,delisted,
ADM*,delisted,
BNI,delisted,
TXU,delisted,
LOM,ticker_change,LMT
AABA,delisted,
FDC,delisted,
PA9,ticker_change,TRV
BUD.2,delisted,
PRU*,delisted,
LEHMQ,delisted,
WAMUQ,delisted,
MWZ,ticker_change,MET
QCI,ticker_change,QCOM
MOT,delisted,
AAPL*,delisted,
AEC1,delisted,
WYE,delisted,
MER,delisted,
SLBA,ticker_change,SLB
BLS,delisted,
WFC*,delisted,
AIG*,delisted,
0R01,delisted,
GEC,delisted,
DYNIQ,delisted,
KFT,delisted,
WFR,delisted,
DC7,ticker_change,DFS
TIE,delisted,
NYX,delisted,
MV,delisted,
MEE,delisted,
CEPH,delisted,
MFE,delisted,
DOFSQ,delisted,
XTSLA,delisted,
T3W1,delisted,
TWX*,delisted,
PCS,delisted,
VISA,ticker_change,V
BRKB,delisted,
-,ticker_change,LPRAX
-,delisted,
-,delisted,
ANRZQ,delisted,
MPN,ticker_change,MPC
MOS*,delisted,
OSHWQ,delisted,
OSHSQ,delisted,
6COP,delisted,
4XS,ticker_change,ESRX
KMI WS,delisted,
THC1,delisted,
3EC,delisted,
VX1,delisted,
A60,delisted,
NEBLQ,delisted,
FB*,delisted,
GGQ7,ticker_change,GOOG
HAWKB,delisted,
WPG,delisted,
BLKFDS,delisted,
BF/B,ticker_change,BF_B
UBSFT,ticker_change,UBSFY
ESZ4,non_stock,
ESH5,non_stock,
ESM5,non_stock,
BF.B,ticker_change,BF_B
ESU5,non_stock,
BLD WI,ticker_change,BLD
CC WI,ticker_change,CC
ESZ5,non_stock,
UBFUT,non_stock,
SYF-W,ticker_change,SYF
ESH6,non_stock,
ESM6,non_stock,
UAC/C,ticker_change,UAA
ESU6,non_stock,
ESZ6,non_stock,
ESH7,non_stock,
ESU7,non_stock,
MARGIN_USD,non_stock,
ESZ7,non_stock,
ESH8,non_stock,
ESM8,non_stock,
ESU8,non_stock,
ESZ8,non_stock,
ESH9,non_stock,
ESM9,non_stock,
ESU9,non_stock,
ESZ9,non_stock,
DISHR,delisted,
VIAC,delisted,
ESH0,non_stock,
ESM0,non_stock,
TMUSR,delisted,
ESU0,non_stock,
OXY WS WI,delisted,
ESZ0,non_stock,
ESH1,non_stock,
ESM1,non_stock,
ESU1,non_stock,
ESZ1,non_stock,
ESH2,non_stock,
ESM2,non_stock,
ESU2,non_stock,
